Name,Position,Dept,Salary
Haley Allen,OFFICER,POLICE,89299
Matthew Montgomery,SUPERVISOR,WATER,72314
Emily Murphy,ENGINEER,POLICE,87174
Kristin Simpson,ANALYST,POLICE,84349
Marisa Nguyen,DEVELOPER,POLICE,65976
Christy Barker,OFFICER,WATER,72623
John Jones,ANALYST,GENERAL,65869
Kevin Smith,ANALYST,WATER,88462
Anthony Christian,ANALYST,CIVIL,72223
Derrick Rogers,DEVELOPER,GENERAL,74115
John Leonard,OFFICER,WATER,87876
Bonnie Young,DEVELOPER,TELECOM,74105
Mathew Osborne,ENGINEER,WATER,90018
Keith Davis,SUPERVISOR,POLICE,68039
Melissa Hopkins,DEVELOPER,POLICE,76763
Zachary Campbell,SUPERVISOR,GENERAL,73667
Misty Pena,OFFICER,CIVIL,82571
Ashlee Sanchez,OFFICER,CIVIL,67582
Sheri Maynard,ANALYST,TELECOM,92177
Susan Hall,ANALYST,TELECOM,83918
Angela Foster,ENGINEER,POLICE,66501
Stephanie Ray,ENGINEER,TELECOM,67614
Allison Hines,ENGINEER,POLICE,77455
Christine Noble,SUPERVISOR,CIVIL,85830
David Henry,SUPERVISOR,WATER,77130
Derek Dougherty,SUPERVISOR,WATER,86960
Glenda Mcmillan,SUPERVISOR,POLICE,84960
Regina Sexton,ENGINEER,GENERAL,88892
Thomas Campbell,ENGINEER,WATER,80147
Samuel Villegas,DEVELOPER,TELECOM,85971
Stephen Barrett,ANALYST,WATER,87433
Micheal Gutierrez,SUPERVISOR,POLICE,72505
Steve Rivas,OFFICER,TELECOM,78145
Candice Howard,SUPERVISOR,POLICE,71913
Casey Stafford,ANALYST,TELECOM,71967
Timothy Little,DEVELOPER,CIVIL,93989
Brian Mcclain,DEVELOPER,WATER,73679
Brittany Johnson,ENGINEER,WATER,89411
Harold Hamilton,ANALYST,GENERAL,73609
Mrs. Stephanie Griffin,ANALYST,CIVIL,94419
Joshua Campos,ANALYST,CIVIL,76861
Barbara Johnston,ENGINEER,WATER,81696
Tracy Mack,DEVELOPER,POLICE,89765
Christy Bowen,OFFICER,POLICE,70008
Erin Martinez,ENGINEER,CIVIL,84543
Laura Wood,OFFICER,CIVIL,77504
Michael Arnold,ANALYST,CIVIL,82338
James Saunders,SUPERVISOR,GENERAL,93206
Peter Atkinson,OFFICER,POLICE,87338
Michael Montgomery,ANALYST,TELECOM,90185
Daniel Lee,SUPERVISOR,POLICE,74617
Matthew Cherry,DEVELOPER,WATER,79867
Gary Cantrell,OFFICER,TELECOM,81403
James Briggs,ENGINEER,GENERAL,94904
Mark Martin,OFFICER,TELECOM,92579
Megan Padilla,ANALYST,GENERAL,71517
Eric Richardson,ENGINEER,TELECOM,89985
Sean Garrett,ENGINEER,GENERAL,90514
Alan Thompson,ANALYST,POLICE,84626
Maria Boyd,SUPERVISOR,CIVIL,65638
Ashley Smith,OFFICER,TELECOM,93793
Hannah Foster,SUPERVISOR,WATER,66898
Evan Sosa,ENGINEER,GENERAL,67580
Justin Sullivan,OFFICER,CIVIL,91739
Jerry White,OFFICER,GENERAL,90094
Melanie Ortiz,ENGINEER,WATER,86618
Vicki Sullivan,DEVELOPER,GENERAL,70410
Maria Jimenez,SUPERVISOR,GENERAL,93587
Maria Anderson,ANALYST,CIVIL,71940
Michael Rodriguez,ANALYST,WATER,88361
Claudia Fry,SUPERVISOR,CIVIL,87009
Lindsay Hanson,SUPERVISOR,CIVIL,94478
Mr. Matthew Zavala DDS,ANALYST,CIVIL,68965
Megan Bowman,ENGINEER,WATER,67098
Phillip Jones,SUPERVISOR,POLICE,84277
Emily Davis,ANALYST,WATER,84282
Wendy Phillips,ENGINEER,POLICE,67326
Christopher Solis,OFFICER,WATER,67208
Patrick Rice,OFFICER,TELECOM,67321
Edwin Cooley,ANALYST,WATER,74125
Andrew Fowler,DEVELOPER,WATER,82669
Michelle Castro,ENGINEER,GENERAL,83881
Paul Roberts,DEVELOPER,WATER,90710
Alison Miller,DEVELOPER,CIVIL,71239
Selena Copeland,OFFICER,POLICE,86593
Heidi Edwards,DEVELOPER,TELECOM,78879
Alicia Campbell,DEVELOPER,CIVIL,93306
Juan Martinez,OFFICER,POLICE,66986
Jamie Cooper,DEVELOPER,TELECOM,91233
Joanne Garcia,OFFICER,WATER,71278
Catherine Hester,ENGINEER,GENERAL,79700
Paul Peters,ENGINEER,CIVIL,71012
Scott Williamson,SUPERVISOR,CIVIL,73185
George Murray,OFFICER,CIVIL,91477
Daniel Walters,ANALYST,POLICE,66657
Mark Miller,ANALYST,POLICE,68056
Carla Ross,ENGINEER,WATER,78317
Kristen Goodman,DEVELOPER,CIVIL,72004
Erik Mack,DEVELOPER,POLICE,70394
Christopher Garrett,DEVELOPER,POLICE,77793
Candace Ross,SUPERVISOR,CIVIL,74347
Megan Thompson,DEVELOPER,GENERAL,86688
Michael Booth,DEVELOPER,WATER,71222
Glenn Stewart,SUPERVISOR,WATER,66916
Michelle Barton,ANALYST,GENERAL,66997
Dr. Matthew Blankenship,SUPERVISOR,POLICE,66643
Jason Ortiz,ANALYST,CIVIL,81477
Alexandra Clark,ANALYST,WATER,66863
Nancy Sullivan,ANALYST,POLICE,92896
Jamie Martin,ENGINEER,POLICE,84498
Christina Hill,OFFICER,WATER,78230
Anna Collier,OFFICER,GENERAL,73067
Brittany Burns,ANALYST,GENERAL,66302
Christian Hopkins,ANALYST,POLICE,78737
Caitlin Johnson,ANALYST,GENERAL,82130
Mary Lee,SUPERVISOR,TELECOM,71693
Morgan Bailey,SUPERVISOR,WATER,73703
Leslie Torres,DEVELOPER,WATER,87009
Keith Anderson,SUPERVISOR,CIVIL,75360
Curtis Riley,OFFICER,POLICE,80017
Matthew Price,ANALYST,GENERAL,68276
Autumn Murphy,OFFICER,GENERAL,71984
Jennifer Graham,ANALYST,TELECOM,69340
Donna Rodriguez,SUPERVISOR,POLICE,93811
Christina Tyler,ENGINEER,TELECOM,74338
Dylan Wilson,ENGINEER,CIVIL,92320
Karen Shelton,ANALYST,TELECOM,85043
Joseph Martinez,ANALYST,POLICE,86884
Lori Stewart,ANALYST,TELECOM,86737
Paula Craig,OFFICER,WATER,73666
Roy Johnson,OFFICER,POLICE,89327
Kathryn Brown,ANALYST,WATER,73924
Austin Hunter,SUPERVISOR,GENERAL,71901
Jay Ellis,SUPERVISOR,WATER,87527
Luis Lowe,SUPERVISOR,GENERAL,81008
Hailey Nelson,SUPERVISOR,POLICE,68024
Christopher Evans,DEVELOPER,TELECOM,66444
Kyle Farrell,OFFICER,TELECOM,90268
Linda Howell,ENGINEER,TELECOM,70294
Crystal Young,DEVELOPER,GENERAL,88123
Barbara Pacheco,DEVELOPER,GENERAL,65316
Michelle Carter,OFFICER,POLICE,93937
Jason Moore,ENGINEER,GENERAL,66180
Gabriel Chase,SUPERVISOR,GENERAL,83105
Roger Long,ENGINEER,CIVIL,69176
Keith Wilson,OFFICER,TELECOM,76948
