Name,Gender,Start_Date,Login_Time,Salary,Bonus%,Is_Senior_Management,Department
David Kramer,Male,26-01-2015,01:46:41,60819,8,TRUE,Sales
Brandon Morris,Male,31-10-2022,16:03:18,63358,17,TRUE,Marketing
April Gill,Male,18-05-2020,18:39:44,60976,2,TRUE,Sales
Kimberly Lane,Male,06-06-2018,04:48:39,78390,6,FALSE,Sales
John Hendricks,Female,21-09-2022,14:01:16,79309,8,TRUE,Sales
Katie Richards,Female,19-09-2023,21:34:50,71149,8,TRUE,Sales
Kendra Vazquez,Female,17-07-2017,12:34:06,63349,2,FALSE,HR
Michael Skinner,Female,24-06-2021,22:34:41,71270,19,FALSE,HR
Pedro Campbell,Female,04-09-2018,20:35:11,77571,3,FALSE,HR
Theresa Miller,Female,19-08-2018,12:18:07,71850,18,TRUE,HR
Sheri Carter,Male,12-10-2017,20:46:23,67467,9,TRUE,Sales
Jason Castillo,Male,11-04-2022,17:46:40,72455,8,FALSE,IT
Margaret Salinas,Male,19-04-2017,18:11:58,72130,11,TRUE,IT
Marissa Galvan,Male,25-02-2018,16:58:21,79960,20,TRUE,Sales
Betty Bush,Male,05-12-2017,12:21:18,75147,12,FALSE,Sales
Mr. Terry Kim,Female,11-03-2021,20:34:49,61832,7,TRUE,IT
Terry Sanchez,Female,14-04-2022,04:43:09,68773,2,TRUE,IT
Barbara Murphy,Male,15-05-2023,08:02:49,76358,12,FALSE,Sales
Jamie Huber,Female,08-12-2016,15:23:07,64575,7,FALSE,Marketing
Jasmine Mckenzie,Female,18-04-2023,09:38:54,71861,7,TRUE,Marketing
Phillip Morris,Male,16-07-2021,09:04:04,61543,3,TRUE,Sales
Jay Williams,Female,29-02-2016,14:15:14,79543,2,FALSE,Marketing
Jessica Collier,Female,10-10-2015,14:18:23,77338,8,TRUE,HR
Andrew Burgess,Female,24-08-2021,05:18:22,71146,3,FALSE,Marketing
Craig Burns,Male,19-09-2020,23:03:57,74867,0,FALSE,Sales
Joseph Price,Male,27-09-2018,01:25:07,69779,20,TRUE,Sales
Brenda Garcia,Female,11-06-2016,00:48:54,65293,17,TRUE,IT
Cynthia Bass,Female,15-10-2019,06:06:20,60638,3,FALSE,IT
Wesley White,Male,18-08-2016,17:16:54,61898,7,TRUE,HR
Michael Rodriguez,Female,05-06-2015,02:06:44,62267,17,TRUE,Sales
Anthony Lynch,Female,24-09-2018,18:42:48,78015,5,FALSE,Marketing
Manuel Cole,Male,05-08-2020,16:19:59,77671,6,FALSE,Marketing
Isaac Martin,Female,21-04-2021,19:49:39,74355,16,FALSE,HR
Linda Barrera,Male,29-04-2016,16:23:10,67362,2,FALSE,HR
Joanne Adams,Male,06-05-2020,18:27:08,79282,7,TRUE,HR
Kathleen Mathews MD,Male,05-05-2019,20:36:23,67501,2,TRUE,IT
Maria Clark,Male,11-04-2020,23:19:19,76847,7,FALSE,Marketing
Brian Patel,Male,08-03-2018,16:09:01,77669,4,FALSE,Sales
Janet Osborne,Female,19-09-2017,02:16:15,73338,6,TRUE,HR
Anna Henderson,Female,26-12-2015,20:27:43,71609,13,FALSE,Marketing
William Williams,Male,14-12-2016,07:29:19,63224,1,FALSE,IT
Michael Singh,Male,11-06-2016,10:32:07,68147,6,TRUE,Marketing
Jordan Reed,Male,24-09-2021,03:21:50,73824,5,FALSE,Marketing
Patricia Dominguez,Male,06-05-2017,18:56:28,62470,14,TRUE,HR
Nicole Brown,Male,01-09-2019,19:58:18,63056,7,TRUE,Marketing
Denise Smith,Female,31-07-2021,07:34:42,75773,6,FALSE,HR
Nancy Berg,Male,11-06-2019,15:05:12,72418,0,FALSE,IT
Aaron Robinson,Female,14-04-2022,06:15:42,69347,13,FALSE,Sales
Daniel Fernandez,Male,23-01-2021,00:13:24,69722,6,TRUE,HR
Joshua Benson,Female,21-01-2019,05:15:21,61873,1,FALSE,Sales
Chad Jenkins,Male,18-05-2023,00:39:38,76640,2,TRUE,HR
Philip Jenkins,Male,31-08-2018,15:20:55,67707,12,TRUE,Sales
Beverly Cline DVM,Male,13-09-2020,15:34:23,62686,13,FALSE,IT
David Brown,Male,30-01-2023,08:06:35,70295,7,FALSE,Marketing
Jamie Gutierrez,Male,26-03-2019,04:57:43,69830,14,FALSE,HR
Cory Cooper,Male,25-06-2023,08:19:52,75017,19,TRUE,HR
Erin Waters,Male,31-10-2021,09:21:38,76576,8,TRUE,IT
Danny Smith,Male,02-03-2022,22:55:37,68004,11,FALSE,Sales
Elizabeth Evans,Female,02-02-2021,08:36:45,77800,9,TRUE,IT
Jessica Nunez,Male,21-06-2020,01:44:46,64400,8,TRUE,HR
Richard Santiago,Male,02-02-2019,09:55:54,68924,9,TRUE,IT
Robin Cohen,Male,12-12-2022,05:47:45,68650,16,FALSE,IT
Terri Little,Male,30-08-2016,19:27:44,63024,20,FALSE,IT
Michael Thomas,Male,05-03-2015,01:08:46,60116,10,TRUE,IT
Jason Barnes,Male,23-11-2018,18:49:11,74478,17,FALSE,HR
David Bryant,Male,28-03-2018,03:22:04,62465,4,TRUE,IT
Melvin Johnson,Male,14-08-2018,06:07:41,74083,4,TRUE,IT
Rebecca Brown,Female,09-10-2019,16:05:52,61307,11,TRUE,Sales
Anthony Griffin,Male,05-10-2021,14:09:36,71589,17,FALSE,Sales
Allison Hall,Male,22-06-2016,07:26:02,65324,5,FALSE,HR
Jessica Forbes,Male,09-07-2015,00:49:55,70885,13,TRUE,IT
Madeline Chase,Male,22-02-2022,15:14:41,63542,12,TRUE,Marketing
Gabrielle Torres,Male,27-12-2016,23:18:08,66539,14,FALSE,IT
Sheri Zimmerman,Male,08-12-2019,15:56:06,67304,0,TRUE,Marketing
Laura Davis,Female,17-06-2020,23:45:31,69129,2,FALSE,IT
Megan Brandt,Female,21-10-2022,23:37:10,77570,10,TRUE,HR
Matthew Adams,Female,16-07-2016,03:23:15,65851,18,FALSE,HR
Jenny Clark,Male,06-01-2017,00:48:07,79548,13,FALSE,IT
Luis Simon,Female,27-10-2017,17:50:13,79864,16,TRUE,Marketing
Briana Perry,Male,18-02-2022,03:22:45,68346,1,FALSE,HR
Stephanie Erickson,Male,16-06-2015,16:15:44,71934,13,TRUE,IT
Stephanie Green,Female,05-12-2020,15:22:55,64083,9,FALSE,Marketing
Rachel Harris,Female,05-04-2022,22:22:14,73185,9,TRUE,Sales
Austin Santiago,Female,16-07-2019,19:19:31,72423,5,FALSE,Marketing
Jennifer Martinez,Male,08-12-2022,22:46:33,69957,9,TRUE,Marketing
James Fletcher,Female,10-10-2016,13:14:35,75236,14,FALSE,Sales
Michelle Washington,Female,07-08-2015,11:23:20,65560,2,FALSE,IT
Paula Waters,Male,06-12-2020,13:25:50,67696,9,TRUE,Sales
Stephanie Wilson,Male,14-02-2018,23:08:56,60800,1,TRUE,Marketing
Cheryl Ramos,Male,02-06-2019,05:29:36,74923,13,TRUE,Marketing
Travis Barnes,Female,11-10-2022,05:34:22,73095,7,TRUE,HR
Sandra Wyatt,Male,01-11-2021,02:12:39,73931,7,TRUE,Marketing
Sandra Watts,Male,20-10-2022,00:12:22,78265,7,TRUE,Marketing
John Wilkins,Male,08-04-2021,22:32:00,75225,16,FALSE,Marketing
Karen Thomas,Female,14-12-2015,08:21:26,77952,14,TRUE,Marketing
Jacqueline Collins,Female,04-09-2017,03:18:55,68493,7,FALSE,Marketing
Diana Vargas,Male,13-01-2016,21:38:32,68998,14,TRUE,IT
Mr. Scott Wright,Male,11-01-2020,21:36:51,68903,10,FALSE,HR
Lisa Ferguson,Male,14-09-2016,15:48:56,64942,7,FALSE,Sales
Susan Rogers,Male,10-10-2019,09:53:51,62104,13,FALSE,IT
Denise Gross,Female,18-06-2015,09:40:47,73624,1,TRUE,Marketing
Sean Brown,Female,05-11-2018,12:58:13,79139,0,FALSE,Marketing
Jacqueline Hunt,Male,16-04-2022,14:17:28,71526,9,FALSE,Marketing
Evan Jenkins,Male,14-08-2019,11:24:38,75998,7,FALSE,Marketing
Juan Martin,Female,09-09-2018,18:49:19,60951,12,FALSE,Marketing
Matthew Lambert,Male,11-01-2019,18:23:44,75315,4,TRUE,Marketing
Michael Lee,Male,03-08-2018,07:44:26,62750,20,FALSE,Sales
Manuel Joseph,Female,25-06-2018,18:21:40,65954,1,FALSE,Marketing
Samantha Kelly,Female,06-09-2020,14:34:29,66935,14,FALSE,IT
Linda Brown,Female,01-12-2022,03:15:42,69117,13,FALSE,HR
Susan Bradley,Female,13-04-2015,22:17:29,60635,17,TRUE,IT
Anne Esparza,Male,28-04-2022,01:58:36,62248,20,TRUE,HR
Diane Wagner,Male,12-01-2019,18:01:22,66532,0,TRUE,Sales
Nicholas Johnson,Male,28-06-2021,14:52:04,75517,3,TRUE,Marketing
Michael Lewis,Female,09-11-2023,15:42:10,72087,5,TRUE,Sales
Madison Adams,Female,14-10-2016,20:09:57,63542,18,TRUE,IT
Bradley Wagner,Female,02-02-2016,09:05:49,72997,6,TRUE,Sales
Daniel Mora,Male,09-09-2022,23:34:47,69882,19,TRUE,HR
Roger Hill,Female,14-12-2016,07:23:12,77456,13,FALSE,HR
Michelle Martinez,Female,04-12-2021,10:50:38,60414,13,FALSE,HR
Nathan White,Female,11-04-2018,20:22:10,71868,20,FALSE,Sales
Michelle Ramirez,Female,08-11-2020,05:22:28,65771,16,FALSE,Marketing
Gary Robertson,Female,13-10-2020,20:01:43,74272,18,FALSE,IT
James Quinn,Male,10-08-2019,10:39:22,62839,8,FALSE,Sales
Melinda Williams,Female,31-08-2015,16:42:07,78672,19,FALSE,IT
Mary Hernandez,Male,25-12-2023,19:11:47,76197,10,TRUE,Marketing
Joe Evans,Male,20-12-2016,02:06:34,71626,8,FALSE,IT
Nicole Davila,Female,20-12-2021,20:01:07,78212,0,TRUE,HR
Gregory Jennings,Male,22-02-2016,09:01:00,73317,15,TRUE,Marketing
Katherine Smith,Female,06-01-2019,21:51:04,74685,0,TRUE,IT
Mr. David Mcdaniel,Male,12-01-2016,13:23:05,73251,7,FALSE,IT
Norman Taylor,Female,01-03-2021,21:27:35,78136,16,FALSE,Marketing
